"행정구역별(1)",2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.03 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.04 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p),2023.05 p)
"행정구역별(1)",출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당)
"전국",21138,4.9,28922,6.7,-7784,-1.8,18192,4.2,8255,1.9,18484,4.4,27581,6.6,-9097,-2.2,14475,3.4,7288,1.7,18988,4.4,28958,6.7,-9970,-2.3,17212,4.0,8393,1.9
"서울특별시",3605,4.5,4156,5.2,-551,-0.7,3489,4.4,1142,1.4,3062,4.0,3998,5.2,-937,-1.2,2660,3.5,987,1.3,3281,4.1,4333,5.5,-1052,-1.3,3262,4.1,1186,1.5
"부산광역시",1170,4.2,2178,7.8,-1008,-3.6,950,3.4,455,1.6,1059,3.9,1993,7.4,-934,-3.4,798,2.9,425,1.6,1099,3.9,2100,7.5,-1001,-3.6,920,3.3,503,1.8
"대구광역시",905,4.5,1305,6.5,-401,-2.0,694,3.5,368,1.8,719,3.7,1203,6.2,-484,-2.5,591,3.1,334,1.7,692,3.5,1321,6.6,-629,-3.2,696,3.5,356,1.8
"인천광역시",1219,4.9,1452,5.8,-232,-0.9,1086,4.3,562,2.2,1061,4.4,1477,6.1,-416,-1.7,844,3.5,531,2.2,1151,4.6,1535,6.1,-383,-1.5,1032,4.1,563,2.2
"광주광역시",572,4.7,746,6.2,-173,-1.4,489,4.0,205,1.7,490,4.2,678,5.8,-189,-1.6,410,3.5,185,1.6,509,4.2,755,6.2,-246,-2.0,457,3.8,255,2.1
"대전광역시",658,5.4,707,5.8,-50,-0.4,520,4.3,194,1.6,599,5.1,718,6.1,-120,-1.0,381,3.2,223,1.9,628,5.1,708,5.8,-80,-0.7,438,3.6,227,1.9
"울산광역시",489,5.2,498,5.3,-9,-0.1,372,4.0,183,1.9,418,4.6,497,5.5,-80,-0.9,303,3.3,171,1.9,428,4.6,462,4.9,-34,-0.4,378,4.0,186,2.0
"세종특별자치시",255,7.8,131,4.0,124,3.8,149,4.6,46,1.4,236,7.5,117,3.7,120,3.8,126,4.0,52,1.6,217,6.6,122,3.7,96,2.9,158,4.8,49,1.5
"경기도",6306,5.5,6055,5.3,251,0.2,5121,4.5,2206,1.9,5657,5.1,5939,5.3,-282,-0.3,4027,3.6,1877,1.7,5672,4.9,6168,5.4,-496,-0.4,4902,4.3,2241,1.9
"강원도",640,4.9,1138,8.8,-498,-3.8,496,3.8,253,1.9,545,4.3,1109,8.8,-564,-4.5,409,3.3,222,1.8,541,4.2,1152,8.9,-612,-4.7,503,3.9,276,2.1
"충청북도",725,5.4,1155,8.6,-430,-3.2,554,4.1,299,2.2,638,4.9,1020,7.8,-382,-2.9,509,3.9,248,1.9,614,4.5,1105,8.2,-491,-3.6,527,3.9,267,2.0
"충청남도",826,4.6,1528,8.5,-702,-3.9,776,4.3,440,2.4,763,4.4,1482,8.5,-719,-4.1,603,3.5,356,2.0,785,4.4,1571,8.7,-786,-4.4,694,3.9,407,2.3
"전라북도",589,3.9,1394,9.3,-805,-5.4,499,3.3,325,2.2,518,3.6,1368,9.5,-850,-5.9,418,2.9,296,2.0,521,3.5,1406,9.4,-885,-5.9,487,3.3,278,1.9
"전라남도",714,4.6,1684,11.0,-971,-6.3,626,4.1,296,1.9,622,4.2,1532,10.3,-910,-6.1,511,3.4,269,1.8,634,4.1,1591,10.4,-956,-6.2,536,3.5,310,2.0
"경상북도",923,4.2,2165,9.9,-1242,-5.7,780,3.6,453,2.1,825,3.9,2038,9.6,-1213,-5.7,583,2.7,375,1.8,878,4.0,2105,9.6,-1227,-5.6,700,3.2,455,2.1
"경상남도",1256,4.5,2252,8.1,-996,-3.6,957,3.5,535,1.9,1007,3.8,2055,7.7,-1047,-3.9,754,2.8,500,1.9,1084,3.9,2130,7.7,-1046,-3.8,904,3.3,536,1.9
"제주특별자치도",286,5.0,378,6.6,-92,-1.6,256,4.5,146,2.6,266,4.8,358,6.5,-92,-1.7,194,3.5,101,1.8,252,4.4,394,6.9,-142,-2.5,220,3.8,138,2.4
