,도로명주소,Latitude,Longitude
0,서울특별시 강남구 논현로4길,37.4737222,127.052725
1,서울특별시 강남구 논현로10길,37.4745872,127.0499605
2,서울특별시 강남구 개포로20길,37.4768624,127.0481048
3,서울특별시 강남구 개포로15길,37.4796607,127.0456216
4,서울특별시 강남구 논현로6길,37.4734219,127.0513143
5,서울특별시 강남구 개포로25길,37.4800575,127.0478788
6,서울특별시 강남구 개포로17길,37.4796922,127.0461778
7,서울특별시 강남구 논현로12길,37.475113,127.0491857
8,서울특별시 강남구 논현로8길,37.4744036,127.0519028
9,서울특별시 강남구 개포로32길,37.4782644,127.0507126
10,서울특별시 강남구 논현로16길,37.4763603,127.0479474
11,서울특별시 강남구 개포로24길,37.4777301,127.0490347
12,서울특별시 강남구 선릉로14길,37.4841277,127.0607744
13,서울특별시 강남구 논현로18길,37.4774954,127.0465594
14,서울특별시 강남구 개포로22길,37.4763281,127.0507751
15,서울특별시 강남구 선릉로10길,37.4835665,127.0615135
16,서울특별시 강남구 논현로14길,37.4755717,127.0483381
17,서울특별시 강남구 선릉로12길,37.4838778,127.060926
18,서울특별시 강남구 선릉로8길,37.4833101,127.0619924
19,서울특별시 강남구 논현로20길,37.4774348,127.0463888
20,서울특별시 강남구 언주로6길,37.4776101,127.0583504
21,서울특별시 강남구 강남대로120길,37.5075678,127.0268666
22,서울특별시 강남구 강남대로114길,37.5063214,127.0265381
23,서울특별시 강남구 언주로114길,37.5105617,127.0391497
24,서울특별시 강남구 학동로2길,37.5093309,127.0231475
25,서울특별시 강남구 논현로119길,37.5094048,127.030463
26,서울특별시 강남구 강남대로122길,37.5086736,127.0257638
27,서울특별시 강남구 학동로4길,37.5094514,127.0239797
28,서울특별시 강남구 논현로123길,37.5110805,127.0295555
29,서울특별시 강남구 학동로30길,37.5123279,127.0331093
30,서울특별시 강남구 강남대로126길,37.5107098,127.0259654
31,서울특별시 강남구 언주로113길,37.5093768,127.0360493
32,서울특별시 강남구 논현로122길,37.5121593,127.0336409
33,서울특별시 강남구 논현로149길,37.5172546,127.0252437
34,서울특별시 강남구 봉은사로11길,37.5079415,127.029051
35,서울특별시 강남구 선릉로125길,37.5145699,127.0407048
36,서울특별시 강남구 학동로12길,37.5109658,127.0262202
37,서울특별시 강남구 도산대로4길,37.5154046,127.0211729
38,서울특별시 강남구 도산대로54길,37.5204112,127.038731
39,서울특별시 강남구 봉은사로21길,37.5085223,127.0292106
40,서울특별시 강남구 봉은사로1길,37.5067812,127.0248881
41,서울특별시 강남구 학동로6길,37.5101498,127.0251237
42,서울특별시 강남구 학동로34길,37.5135341,127.0335578
43,서울특별시 강남구 학동로8길,37.5111149,127.0249348
44,서울특별시 강남구 논현로116길,37.5095748,127.0343054
45,서울특별시 강남구 강남대로124길,37.5099646,127.025248
46,서울특별시 강남구 학동로18길,37.5105439,127.0287843
47,서울특별시 강남구 논현로121길,37.5096375,127.0296325
48,서울특별시 강남구 선릉로137길,37.5190896,127.039064
49,서울특별시 강남구 도산대로30길,37.5181122,127.0303512
