,개방자치단체코드,인허가일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,지번주소,도로명주소,Latitude,Longitude,사업장명,업태구분명,점포구분명
3,3220000,1974/11/10,1,영업/정상,1,정상영업,2023/01/02,3062.7,서울특별시 강남구 신사동 510번지 11호,서울특별시 강남구 압구정로2길 46 (신사동),37.5187712,127.0206688,강남시장,복합쇼핑몰,대규모점포
4,3220000,1973/08/01,3,폐업,3,폐업처리,2013/02/14,0.0,서울특별시 강남구 논현동 122번지 8호,서울특별시 강남구 학동로4길 15 (논현동),37.5105327,127.0235227,영동시장,그 밖의 대규모점포,대규모점포
5,3220000,1979/01/17,1,영업/정상,1,정상영업,2023/01/02,0.0,서울특별시 강남구 논현동 227번지 4호,서울특별시 강남구 봉은사로33길 33 (논현동),37.5100181,127.0347773,논현종합시장,그 밖의 대규모점포,대규모점포
9,3220000,1985/07/08,1,영업/정상,1,정상영업,2023/01/02,10250.0,서울특별시 강남구 압구정동 515호,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",37.5280802,127.0415695,갤러리아백화점(동관),백화점,
10,3220000,1978/05/26,3,폐업,3,폐업처리,2014/03/24,0.0,서울특별시 강남구 청담동 122호,서울특별시 강남구 도산대로85길 30 (청담동),37.5264323,127.0496672,청담제일시장,그 밖의 대규모점포,대규모점포
11,3220000,1980/05/19,1,영업/정상,1,정상영업,2023/01/02,0.0,서울특별시 강남구 청담동 134번지 20호,서울특별시 강남구 학동로101길 26 (청담동),37.5223046,127.0577361,청담삼익시장,그 밖의 대규모점포,대규모점포
12,3220000,1983/10/11,3,폐업,3,폐업처리,2010/12/30,0.0,서울특별시 강남구 삼성동 122번지 8 호,서울특별시 강남구 봉은사로72길 39 (삼성동),37.5100162,127.0526139,삼성종합시장,시장,대규모점포
16,3220000,1981/04/14,3,폐업,3,폐업처리,2013/02/20,0.0,서울특별시 강남구 역삼동 796번지 22  호,서울특별시 강남구 역삼로52길 14 (역삼동),37.4985291,127.0479489,역삼시장,시장,대규모점포
17,3220000,1974/12/27,3,폐업,3,폐업처리,2013/02/20,0.0,서울특별시 강남구 역삼동 754번지 2  호,서울특별시 강남구 역삼로52길 14 (역삼동),37.4985291,127.0479489,역삼시장,그 밖의 대규모점포,대규모점포
26,3220000,1985/11/30,1,영업/정상,1,정상영업,2023/01/02,37604.54,서울특별시 강남구 압구정동 429번지,"서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점)",37.5273268,127.0274265,(주)현대백화점 본점,백화점,대규모점포
27,3220000,1988/10/10,1,영업/정상,1,정상영업,2023/01/02,46111.46,서울특별시 강남구 삼성동 159번지 7호,"서울특별시 강남구 테헤란로 517 (삼성동, 무역센터현대백화점)",37.5086154,127.0597808,현대백화점 무역센터점,백화점,대규모점포
28,3220000,1985/03/18,1,영업/정상,1,정상영업,2023/01/02,15358.0,서울특별시 강남구 압구정동 494호,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)",37.5285614,127.0400548,갤러리아백화점(서관),백화점,
29,3220000,2000/06/16,1,영업/정상,1,정상영업,2023/01/02,26532.0,서울특별시 강남구 대치동 937호,서울특별시 강남구 도곡로 401 (대치동),37.4970578,127.0535939,롯데백화점(강남점),백화점,
30,3220000,1988/10/19,1,영업/정상,1,정상영업,2023/01/02,7940.0,서울특별시 강남구 삼성1동 159번지 8호 그랜드인터콘티넨탈호텔(지하1층),서울특별시 강남구 테헤란로 521 (삼성동),37.5090474,127.060893,파르나스몰(PARNAS MALL),쇼핑센터,대규모점포
