도로명주소,Latitude,Longitude
서울특별시 강남구 압구정로80길 37,37.524384,127.0435585
서울특별시 강남구 언주로152길 8,37.5224999,127.0342775
서울특별시 강남구 선릉로155길 13,37.525346,127.0385762
서울특별시 강남구 도산대로67길 30,37.5259563,127.044561
서울특별시 강남구 선릉로152길 33,37.5245501,127.0423009
서울특별시 강남구 학동로55길 12-12,37.5190288,127.0422414
서울특별시 강남구 압구정로80길 19-2,37.5244838,127.0450017
서울특별시 강남구 도산대로67길 19,37.525389,127.0441743
서울특별시 강남구 선릉로158길 13-7,37.5260412,127.0411927
서울특별시 강남구 학동로97길 41,37.5224135,127.054306
서울특별시 강남구 도산대로45길 6,37.5228477,127.0363682
서울특별시 강남구 압구정로42길 49,37.5256434,127.0345412
서울특별시 강남구 강남대로 652,37.519457,127.0191187
서울특별시 강남구 학동로17길 13,37.513565,127.0260239
서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
서울특별시 강남구 선릉로158길 11,37.5256734,127.0410846
서울특별시 강남구 도산대로 457,37.5244162,127.0465576
서울특별시 강남구 압구정로60길 21,37.5259514,127.041927
서울특별시 강남구 학동로97길 41,37.5224135,127.054306
서울특별시 강남구 언주로164길 39,37.5254479,127.0367389
서울특별시 강남구 언주로167길 35,37.5263754,127.0302672
서울특별시 강남구 도산대로45길 8-3,37.5229945,127.0362381
서울특별시 강남구 논현로79길 62,37.4963219,127.034042
서울특별시 강남구 언주로152길 15-3,37.5230149,127.0347969
서울특별시 강남구 영동대로115길 10,37.5148832,127.0588034
서울특별시 강남구 압구정로 108,37.5229191,127.0205789
서울특별시 강남구 선릉로152길 17,37.524441,127.0410589
서울특별시 강남구 도산대로 132,37.5171918,127.0232271
서울특별시 강남구 선릉로162길 43,37.5263902,127.0440211
서울특별시 강남구 양재천로 167,37.4816943,127.0447596
서울특별시 강남구 강남대로124길 19,37.5092624,127.0241438
서울특별시 강남구 강남대로162길 22,37.5201074,127.0204487
서울특별시 강남구 봉은사로 333,37.5109479,127.047282
서울특별시 강남구 역삼로 118,37.4933484,127.0320347
서울특별시 강남구 선릉로148길 37,37.5229638,127.0425424
서울특별시 강남구 영동대로 648,37.5199859,127.0577213
서울특별시 강남구 도산대로11길 28,37.519367,127.0225811
서울특별시 강남구 도산대로 420,37.5230411,127.0419873
서울특별시 강남구 영동대로142길 13-3,37.5244137,127.0555561
서울특별시 강남구 도산대로45길 10-5,37.5234282,127.036206
서울특별시 강남구 도산대로92길 42,37.5219885,127.0493831
서울특별시 강남구 도산대로45길 8-1,37.5229303,127.0360298
서울특별시 강남구 압구정로10길 30-12,37.5222698,127.0215504
서울특별시 강남구 논현로175길 109,37.5223434,127.0206231
서울특별시 강남구 압구정로 338,37.527921,127.0389013
서울특별시 강남구 도산대로90길 17,37.5233612,127.0490275
서울특별시 강남구 삼성로85길 26,37.5050689,127.054985
서울특별시 강남구 선릉로155길 5,37.5251096,127.0390868
서울특별시 강남구 도산대로72길 16,37.5229456,127.0454854
서울특별시 강남구 선릉로146길 3,37.5219183,127.0399604
서울특별시 강남구 논현로26길 4,37.481723,127.0435728
서울특별시 강남구 도산대로70길 24,37.5221245,127.045049
서울특별시 강남구 강남대로128길 22,37.510083,127.0241178
서울특별시 강남구 압구정로48길 39,37.525931,127.0370724
서울특별시 강남구 언주로170길 16,37.5267938,127.035011
서울특별시 강남구 선릉로 664,37.5158959,127.0422861
서울특별시 강남구 논현로94길 25-3,37.5030429,127.038146
서울특별시 강남구 언주로 835,37.5249685,127.0326688
서울특별시 강남구 압구정로80길 26,37.5248042,127.0446044
서울특별시 강남구 논현로175길 109,37.5223434,127.0206231
서울특별시 강남구 언주로 835,37.5249685,127.0326688
서울특별시 강남구 강남대로 512,37.5078464,127.0233683
서울특별시 강남구 강남대로162길 40,37.5207075,127.0215947
서울특별시 강남구 압구정로18길 14-6,37.5238484,127.0243133
서울특별시 강남구 논현로167길 15,37.5244752,127.0268518
서울특별시 강남구 언주로168길 6,37.5264056,127.0339591
서울특별시 강남구 도산대로75길 24,37.5252536,127.0457722
서울특별시 강남구 도산대로55길 18,37.5246404,127.04057
서울특별시 강남구 도산대로 318,37.5220158,127.0363493
서울특별시 강남구 언주로172길 14,37.5276336,127.0348904
서울특별시 강남구 선릉로131길 23,37.5171927,127.0391027
서울특별시 강남구 선릉로64길 23,37.4983093,127.0541735
서울특별시 강남구 테헤란로87길 29,37.5096735,127.0579536
서울특별시 강남구 압구정로60길 18,37.5262015,127.041707
서울특별시 강남구 강남대로124길 3-9,37.50933,127.0228224
서울특별시 강남구 도산대로45길 10-11,37.5235717,127.0368882
서울특별시 강남구 도산대로 153,37.5188499,127.025219
서울특별시 강남구 선릉로162길 12,37.526753,127.0414632
서울특별시 강남구 선릉로158길 13-7,37.5260412,127.0411927
서울특별시 강남구 언주로165길 7-12,37.5250735,127.0322365
서울특별시 강남구 선릉로148길 48-12,37.5222227,127.0432614
서울특별시 강남구 언주로174길 22,37.5280929,127.0356866
서울특별시 강남구 삼성로 555,37.5110348,127.0539644
서울특별시 강남구 도산대로49길 22,37.5243885,127.0373578
서울특별시 강남구 선릉로152길 21,37.5244965,127.0414635
서울특별시 강남구 학동로6길 16,37.5107835,127.0239146
서울특별시 강남구 테헤란로 521,37.5090474,127.060893
서울특별시 강남구 선릉로148길 48,37.5227344,127.0433975
서울특별시 강남구 도산대로58길 14,37.5224083,127.0412849
서울특별시 강남구 논현로57길 38,37.4909851,127.0379884
서울특별시 강남구 선릉로155길 23-3,37.5253822,127.0376804
서울특별시 강남구 삼성로140길 6,37.5210512,127.0496747
서울특별시 강남구 도산대로59길 13,37.5246608,127.0419249
서울특별시 강남구 언주로164길 24,37.5253624,127.0354879
서울특별시 강남구 언주로168길 19,37.5263757,127.0352195
서울특별시 강남구 선릉로158길 11,37.5256734,127.0410846
서울특별시 강남구 영동대로86길 17,37.5083134,127.0654678
서울특별시 강남구 논현로94길 15,37.5026994,127.0375409
서울특별시 강남구 학동로 305-3,37.5161614,127.036033
서울특별시 강남구 논현로175길 107,37.5224442,127.0208238
서울특별시 강남구 테헤란로 606,37.5085664,127.0641471
서울특별시 강남구 학동로97길 17,37.520883,127.0552068
서울특별시 강남구 강남대로 652,37.519457,127.0191187
서울특별시 강남구 학동로97길 41,37.5224135,127.054306
서울특별시 강남구 언주로148길 19,37.5210544,127.0360609
서울특별시 강남구 테헤란로87길 33,37.5098065,127.0578853
서울특별시 강남구 도산대로81길 51,37.5271238,127.0457791
서울특별시 강남구 봉은사로68길 6-5,37.5112619,127.0494907
서울특별시 강남구 논현로150길 6,37.5189566,127.0291524
서울특별시 강남구 광평로 205,37.4848698,127.0952321
서울특별시 강남구 테헤란로 521,37.5090474,127.060893
