동별(3),2015년 인구수,2016년 인구수,2017년 인구수,2018년 인구수,2019년 인구수,2020년 인구수,2021년 인구수,2022년 인구수,2015년 인구밀도,2016년 인구밀도,2017년 인구밀도,2018년 인구밀도,2019년 인구밀도,2020년 인구밀도,2021년 인구밀도,2022년 인구밀도
개포1동,21700.0,21162.0,20111.0,7800.0,6920.0,6670.0,6489.0,6922.0,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
개포3동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
개포4동,22135.0,18550.0,18525.0,18920.0,18405.0,22765.0,23870.0,23639.0,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
논현1동,25307.0,24867.0,24186.0,24061.0,23792.0,23734.0,22702.0,22080.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
논현2동,23082.0,22639.0,22573.0,22304.0,21904.0,21997.0,21331.0,20814.0,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
대치1동,23283.0,24834.0,25262.0,25590.0,25302.0,24922.0,24199.0,23846.0,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
대치2동,42565.0,42068.0,41566.0,40163.0,38647.0,37752.0,36663.0,37098.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
대치4동,21630.0,21292.0,21193.0,21265.0,20822.0,20744.0,20079.0,19491.0,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
도곡1동,22693.0,23057.0,22882.0,22844.0,22626.0,22227.0,21539.0,21274.0,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
도곡2동,35307.0,34934.0,34884.0,34704.0,34437.0,34042.0,33261.0,32846.0,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
동별(3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
삼성1동,15531.0,15357.0,15193.0,15252.0,14920.0,13600.0,13136.0,12739.0,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
삼성2동,31343.0,30999.0,29628.0,30492.0,30674.0,30368.0,30692.0,31062.0,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
세곡동,43302.0,44344.0,44921.0,45445.0,45064.0,44475.0,43396.0,43382.0,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36
소계,581760.0,572140.0,561052.0,547453.0,550209.0,544055.0,537800.0,534103.0,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
수서동,15732.0,16708.0,16787.0,16421.0,15934.0,15299.0,14870.0,14402.0,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43
신사동,18570.0,18349.0,18105.0,17813.0,17546.0,16914.0,16213.0,15876.0,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
압구정동,28735.0,28360.0,28050.0,28146.0,27712.0,27440.0,26446.0,25902.0,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
역삼1동,36450.0,36305.0,36534.0,36861.0,37002.0,36771.0,36590.0,35556.0,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
역삼2동,36314.0,37047.0,37103.0,36822.0,37336.0,37291.0,36378.0,37269.0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
일원1동,17627.0,17275.0,17108.0,17136.0,16438.0,15827.0,15214.0,14987.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
일원2동,16621.0,16520.0,16467.0,16593.0,18160.0,17709.0,17585.0,0.0,1.24,1.24,1.24,1.24,1.24,1.24,1.24,0.0
일원본동,25350.0,25104.0,25027.0,24781.0,24399.0,23945.0,23291.0,23015.0,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58
청담동,31129.0,30623.0,30269.0,30185.0,30120.0,27266.0,25911.0,25489.0,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33
