스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도
2021-01-25,,스타벅스 대치한티점,서울특별시 강남구 선릉로 324,37.4985229,127.0521012
2020-12-10,,스타벅스 대치재경빌딩B1,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584
2020-09-22,,스타벅스 대치삼성프라자점,서울특별시 강남구 영동대로 237,37.5004032,127.0668349
2019-02-12,,스타벅스 대치재경빌딩R,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584
2018-03-21,,스타벅스 선릉동신빌딩R점,서울특별시 강남구 테헤란로 409,37.5054927,127.0504299
2016-08-10,,스타벅스 대치은마사거리점,서울특별시 강남구 도곡로 457,37.4990346,127.0602191
2016-05-09,,스타벅스 대치사거리점,서울특별시 강남구 삼성로 402,37.5033843,127.0588842
2012-11-09,,스타벅스 선릉로점,서울특별시 강남구 선릉로93길 22,37.5050246,127.0467217
2006-02-20,,스타벅스학여울역점,서울특별시 강남구 영동대로 215,37.4980362,127.0685044
2004-11-17,,스타벅스선릉역점,서울특별시 강남구 테헤란로 334,37.5039451,127.0485253
2003-05-09,,스타벅스대치점,서울특별시 강남구 도곡로 511,37.4996664,127.0622284
2001-11-10,,스타벅스 선릉 세화빌딩점,서울특별시 강남구 테헤란로64길 18,37.503783,127.0512058
2022-11-16,,스타벅스 언주역점,서울특별시 강남구 봉은사로 222,37.5077899,127.0365299
2013-10-30,,스타벅스커피 한티역점,서울특별시 강남구 도곡로 408,37.4966877,127.0552639
2020-05-27,,스타벅스 압구정윤성빌딩점,서울특별시 강남구 논현로 834,37.5228325,127.028577
2018-02-27,,스타벅스 봉은사로 선정릉점,서울특별시 강남구 봉은사로 446,37.5113321,127.0484374
2016-12-26,,스타벅스 신사가로수점,서울특별시 강남구 압구정로12길 32,37.5265851,127.0373028
2016-06-21,,스타벅스 압구정점,서울특별시 강남구 압구정로30길 17,37.5263249,127.0295435
2015-04-14,,스타벅스 을지병원사거리점,서울특별시 강남구 논현로 752,37.51917,127.0287078
2013-10-02,,스타벅스 가로수길점,서울특별시 강남구 논현로175길 94,37.5232025,127.0216261
2010-07-13,,스타벅스포스코점,서울특별시 강남구 삼성로86길 7,37.5057901,127.0579462
2009-12-23,,스타벅스 아크로힐스 논현,서울특별시 강남구 봉은사로 304,37.508992,127.0404055
2008-05-26,,스타벅스 구역삼사거리점,서울특별시 강남구 논현로 401,37.4959266,127.0388715
2003-01-13,,스타벅스SSG마켓도곡R,서울특별시 강남구 언주로30길 57,37.4897104,127.0544907
2012-03-22,,스타벅스 강남비젼타워점,서울특별시 강남구 테헤란로2길 27,37.4965546,127.0296354
2006-04-14,,스타벅스아크플레이스,서울특별시 강남구 테헤란로 142,37.4997187,127.0348982
