스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도,맥날 인허가일자,맥날 폐업일자,강남구 맥도날드,맥도날드 도로명주소,맥도날드 위도,맥도날드 경도,강남구 미쉐린,미쉐린 도로명주소,미쉐린 위도,미쉐린 경도
2021-01-25,,스타벅스 대치한티점,서울특별시 강남구 선릉로 324,37.4985229,127.0521012,2010-12-22,,한국맥도날드 한티역점,서울특별시 강남구 도곡로 409,37.4973819,127.0551699,쿠시카와,서울특별시 강남구 논현로 24길 37,37.4827851,127.0456289
2020-12-10,,스타벅스 대치재경빌딩B1,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584,2010-12-17,,한국맥도날드(유) 선릉점,서울특별시 강남구 테헤란로 326,37.503531,127.0470524,에빗,서울특별시 강남구 도곡로 23길 33,37.4944278,127.0386818
2020-09-22,,스타벅스 대치삼성프라자점,서울특별시 강남구 영동대로 237,37.5004032,127.0668349,2016-11-14,,한국맥도날드(유) 강남삼성DT점,서울특별시 강남구 봉은사로 432,37.5108805,127.0473581,피양콩 할마니,서울특별시 강남구 삼성로 81길 30,37.5041291,127.0552371
2019-02-12,,스타벅스 대치재경빌딩R,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584,2016-04-11,,한국맥도날드(유) 코엑스점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194,보름쇠,서울특별시 강남구 테헤란로 81길 36,37.5092973,127.0565496
2018-03-21,,스타벅스 선릉동신빌딩R점,서울특별시 강남구 테헤란로 409,37.5054927,127.0504299,2012-10-31,,한국맥도날드(주)삼성역점,서울특별시 강남구 삼성로92길 29,37.5083235,127.0587887,팀호완,서울특별시 강남구 봉은사로 86길 30,37.5114126,127.0567797
2016-08-10,,스타벅스 대치은마사거리점,서울특별시 강남구 도곡로 457,37.4990346,127.0602191,2000-05-03,,한국맥도날드청담점,서울특별시 강남구 도산대로 407,37.5237405,127.0403038,이타닉 가든,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
2016-05-09,,스타벅스 대치사거리점,서울특별시 강남구 삼성로 402,37.5033843,127.0588842,2009-09-16,,한국맥도날드(유) 압구정CGV점,서울특별시 강남구 논현로 848,37.5245826,127.0288278,레스토랑 알렌,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
2012-11-09,,스타벅스 선릉로점,서울특별시 강남구 선릉로93길 22,37.5050246,127.0467217,2014-09-26,,한국맥도날드(유) 학동역점,서울특별시 강남구 논현로 667,37.513655,127.0304903,외고집 설렁탕,서울특별시 강남구 삼성로 555,37.5110348,127.0539644
2006-02-20,,스타벅스학여울역점,서울특별시 강남구 영동대로 215,37.4980362,127.0685044,2013-12-24,,한국맥도날드(유)신사역점,서울특별시 강남구 도산대로 123,37.5174758,127.0218777,곰바위,서울특별시 강남구 영동대로 115길 10,37.5148832,127.0588034
2004-11-17,,스타벅스선릉역점,서울특별시 강남구 테헤란로 334,37.5039451,127.0485253,2012-06-26,,한국맥도날드(유) 강남구청점,서울특별시 강남구 선릉로 667,37.5162667,127.0413359,아티피크,서울특별시 강남구 영동대로 122길 2,37.5167625,127.0594209
2003-05-09,,스타벅스대치점,서울특별시 강남구 도곡로 511,37.4996664,127.0622284,2013-11-19,,한국맥도날드(유) 강남2호점,서울특별시 강남구 테헤란로 107,37.4987079,127.0286602,코자차,서울특별시 강남구 학동로 97길 17,37.520883,127.0552068
2001-11-10,,스타벅스 선릉 세화빌딩점,서울특별시 강남구 테헤란로64길 18,37.503783,127.0512058,1999-09-17,2018-03-16,한국맥도날드 대치점,서울특별시 강남구 삼성로 151,37.4921261,127.0625653,봉밀가,서울특별시 강남구 선릉로 664,37.5158959,127.0422861
2022-11-16,,스타벅스 언주역점,서울특별시 강남구 봉은사로 222,37.5077899,127.0365299,2012-09-13,2018-03-23,한국맥도날드(유) 역삼점,서울특별시 강남구 논현로 419,37.4976036,127.0380534,세븐스도어,서울특별시 강남구 학동로 97길 41,37.5224135,127.054306
2013-10-30,,스타벅스커피 한티역점,서울특별시 강남구 도곡로 408,37.4966877,127.0552639,,,,,,,톡톡,서울특별시 강남구 학동로 97길 41,37.5224135,127.054306
2020-05-27,,스타벅스 압구정윤성빌딩점,서울특별시 강남구 논현로 834,37.5228325,127.028577,,,,,,,텐지몽,서울특별시 강남구 학동로 97길 41,37.5224135,127.054306
2018-02-27,,스타벅스 봉은사로 선정릉점,서울특별시 강남구 봉은사로 446,37.5113321,127.0484374,,,,,,,익스퀴진,서울특별시 강남구 삼성로 140길 6,37.5210512,127.0496747
2016-12-26,,스타벅스 신사가로수점,서울특별시 강남구 압구정로12길 32,37.5265851,127.0373028,,,,,,,온,서울특별시 강남구 도산대로 92길 42,37.5219885,127.0493831
