,인허가일자,폐업일자,사업장명,도로명주소,Latitude,Longitude
0,2020-02-20,,써브웨이 신사점,서울특별시 강남구 도산대로 124,37.5168631,127.0223722
1,2019-08-30,,조앤더주스 압구정역점,서울특별시 강남구 논현로 854,37.5254187,127.028869
2,2018-04-06,,(주)학산 테라로사커피 포스코센터지점,서울특별시 강남구 테헤란로 440,37.50579,127.0561533
3,2009-08-14,,세븐일레븐 압구정가은점,서울특별시 강남구 선릉로153길 18,37.5248812,127.0379955
4,2022-02-09,,강남후르츠,서울특별시 강남구 논현로113길 13,37.5082788,127.0320779
5,2021-01-25,,스타벅스 대치한티점,서울특별시 강남구 선릉로 324,37.4985229,127.0521012
6,2020-12-10,,스타벅스 대치재경빌딩B1,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584
7,2020-09-22,,스타벅스 대치삼성프라자점,서울특별시 강남구 영동대로 237,37.5004032,127.0668349
8,2019-02-12,,스타벅스 대치재경빌딩R,서울특별시 강남구 남부순환로 2947,37.4945248,127.062584
9,2018-03-21,,스타벅스 선릉동신빌딩R점,서울특별시 강남구 테헤란로 409,37.5054927,127.0504299
10,2016-08-10,,스타벅스 대치은마사거리점,서울특별시 강남구 도곡로 457,37.4990346,127.0602191
11,2016-05-09,,스타벅스 대치사거리점,서울특별시 강남구 삼성로 402,37.5033843,127.0588842
12,2012-11-09,,스타벅스 선릉로점,서울특별시 강남구 선릉로93길 22,37.5050246,127.0467217
13,2007-09-07,,본죽&비빔밥 대치은마점,서울특별시 강남구 도곡로 516,37.4992034,127.0630995
14,2006-02-20,,스타벅스학여울역점,서울특별시 강남구 영동대로 215,37.4980362,127.0685044
15,2004-11-17,,스타벅스선릉역점,서울특별시 강남구 테헤란로 334,37.5039451,127.0485253
16,2003-05-09,,스타벅스대치점,서울특별시 강남구 도곡로 511,37.4996664,127.0622284
17,2001-11-10,,스타벅스 선릉 세화빌딩점,서울특별시 강남구 테헤란로64길 18,37.503783,127.0512058
18,2010-09-03,,한씨커피,서울특별시 강남구 역삼로14길 14,37.4936284,127.0354675
19,2009-06-25,,세븐일레븐 삼성역점,서울특별시 강남구 테헤란로 532,37.5082136,127.0622783
20,2016-01-11,,르사이공 강남점,서울특별시 강남구 강남대로102길 38,37.5032534,127.0282395
21,2014-06-09,,엔피에스카페 365,서울특별시 강남구 도산대로 128,37.5170071,127.0225572
22,2022-03-02,,담기정,서울특별시 강남구 선릉로 225,37.4953404,127.0526522
23,2017-12-27,,벨뷰(bellevue),서울특별시 강남구 언주로147길 37,37.5190979,127.0312788
24,2015-06-03,,카페뉴,서울특별시 강남구 테헤란로 406,37.5044068,127.0497041
25,2003-03-03,,롯데웰푸드(주) 롯데백화점 강남점(커피),서울특별시 강남구 도곡로 401,37.4970578,127.0535939
26,2017-09-18,,강남쌀국수 역삼점,서울특별시 강남구 언주로 408,37.4994269,127.0446982
27,2008-10-24,,커피스퀘어 선릉점,서울특별시 강남구 테헤란로 313,37.5038117,127.0452472
28,2016-08-23,,레이어 프로젝트(Layer project),서울특별시 강남구 역삼로63길 19,37.5023841,127.0519352
29,2001-09-07,,케이에프씨 역삼역 매장,서울특별시 강남구 논현로 509,37.5019265,127.0360849
30,2021-04-07,,그릭스프로트,서울특별시 강남구 압구정로 224,37.5285363,127.0321595
31,2021-04-01,,하우스 오브 아로마티카,서울특별시 강남구 강남대로162길 41-4,37.5212618,127.0216539
32,2019-08-14,,젤라또랜드,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
33,2022-11-16,,스타벅스 언주역점,서울특별시 강남구 봉은사로 222,37.5077899,127.0365299
34,2021-07-29,,비건비거닝 서울,서울특별시 강남구 선릉로85길 6,37.5030217,127.0491112
35,2022-12-20,,지져스커피(Jesus Coffee),서울특별시 강남구 테헤란로64길 19,37.5037411,127.0517029
36,2019-05-02,,타쿠미야 무역점,서울특별시 강남구 테헤란로 517,37.5085949,127.0597186
37,2022-06-07,,레뽀드라라(RESPOS DE LALA),서울특별시 강남구 테헤란로7길 22,37.500961,127.0306229
38,2020-05-25,,플젠24,서울특별시 강남구 테헤란로69길 8,37.5064454,127.0528606
39,2013-10-30,,스타벅스커피 한티역점,서울특별시 강남구 도곡로 408,37.4966877,127.0552639
40,2020-05-27,,스타벅스 압구정윤성빌딩점,서울특별시 강남구 논현로 834,37.5228325,127.028577
41,2022-04-11,,충현보호작업장 카페드림,서울특별시 강남구 테헤란로27길 40,37.5048473,127.0374545
42,2021-03-31,,파스쿠찌 강남구청역점,서울특별시 강남구 선릉로131길 12,37.5178664,127.0398773
43,2018-08-29,,바비큐MR.KOO,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
44,2017-04-28,,제이플랜,서울특별시 강남구 테헤란로19길 15,37.5010537,127.033227
45,2022-03-25,,청담과 청담본점,서울특별시 강남구 학동로68길 7,37.5174448,127.0467984
46,2020-03-05,,앤샐러드,서울특별시 강남구 테헤란로25길 59,37.5042741,127.0341751
47,2018-02-27,,스타벅스 봉은사로 선정릉점,서울특별시 강남구 봉은사로 446,37.5113321,127.0484374
48,2017-08-08,,헝그리베어,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
49,2015-01-16,,(주)커피빈코리아 파르나스몰점,서울특별시 강남구 테헤란로 521,37.5090474,127.060893
50,2016-12-26,,스타벅스 신사가로수점,서울특별시 강남구 압구정로12길 32,37.5265851,127.0373028
51,2016-06-21,,스타벅스 압구정점,서울특별시 강남구 압구정로30길 17,37.5263249,127.0295435
52,2015-04-14,,스타벅스 을지병원사거리점,서울특별시 강남구 논현로 752,37.51917,127.0287078
53,2022-06-14,,보틀 케이크,서울특별시 강남구 테헤란로 322,37.5029732,127.0465325
54,2022-05-20,,(주)파리크라상 잠바주스 압구정역점,서울특별시 강남구 압구정로 162,37.5262974,127.0274473
55,2022-04-25,,밥주는영양사,서울특별시 강남구 자곡로7길 12-1,37.4735273,127.0993993
56,2018-04-27,,한화갤러리아 명품관 이비에이,서울특별시 강남구 압구정로 343,37.5285614,127.0400548
57,2016-06-02,,(주)코리아세븐 뉴강남센터점,서울특별시 강남구 강남대로96길 9,37.4998801,127.027735
58,2011-12-22,,세븐일레븐 압구정로데오본점,서울특별시 강남구 도산대로51길 44,37.525994,127.0383821
59,2019-12-31,,코삼이커피 역삼점,서울특별시 강남구 논현로85길 5-12,37.4986058,127.0369124
60,2022-02-18,,유로스커피 런업컴퍼니점,서울특별시 강남구 논현로138길 7,37.5167187,127.0302708
61,2013-03-19,,카페도시,서울특별시 강남구 테헤란로 517,37.5085949,127.0597186
62,2013-10-02,,스타벅스 가로수길점,서울특별시 강남구 논현로175길 94,37.5232025,127.0216261
63,2010-07-13,,스타벅스포스코점,서울특별시 강남구 삼성로86길 7,37.5057901,127.0579462
64,2022-09-14,,벤치카페 오토웨이타워점,서울특별시 강남구 영동대로 417,37.5061901,127.0637174
65,2022-08-29,,과일?cafe리치,서울특별시 강남구 강남대로84길 33,37.4975826,127.0311106
66,2022-07-04,,flow압구정현대점,서울특별시 강남구 압구정로29길 71,37.5330263,127.0279257
67,2021-12-07,,배스킨라빈스 플로우(flow)도곡,서울특별시 강남구 남부순환로363길 16,37.4864265,127.0381543
68,2009-12-23,,스타벅스 아크로힐스 논현,서울특별시 강남구 봉은사로 304,37.508992,127.0404055
69,2022-09-21,,폴프랭크카페 선릉점,서울특별시 강남구 테헤란로 333,37.5047062,127.0480081
70,2022-07-25,,씨에스유통(주) 은마점,서울특별시 강남구 삼성로 212,37.4974176,127.0653272
71,2022-10-05,,퓨즈잇(FUZIT),서울특별시 강남구 언주로 709,37.5167134,127.0348149
72,2022-05-26,,맛빙수,서울특별시 강남구 언주로99길 22,37.5056118,127.0390209
73,2019-06-26,,이디야 논현학동점,서울특별시 강남구 논현로131길 28,37.5140759,127.0280905
74,2016-08-31,,롯데프리미엄푸드마켓 도곡점,서울특별시 강남구 언주로30길 21,37.4886722,127.0521024
75,2016-06-21,,롯데프리미엄푸드마켓 도곡점,서울특별시 강남구 언주로30길 21,37.4886722,127.0521024
76,2018-03-02,,카페 다도(Cafe 다도),서울특별시 강남구 언주로85길 27,37.5006034,127.0410859
77,2022-03-30,,마마스플라워카페,서울특별시 강남구 헌릉로571길 56-3,37.4678535,127.0987082
78,2014-11-10,,테라로사 코엑스지점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
79,1994-04-18,,써브웨이 신사점,서울특별시 강남구 도산대로 124,37.5168631,127.0223722
80,2022-03-28,,봄카츠 대치점,서울특별시 강남구 선릉로 334,37.4995931,127.0516807
81,2018-08-28,,럭셔리베어,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
82,2016-03-25,,다아는커피,서울특별시 강남구 강남대로 536,37.5100509,127.0223162
83,2021-07-26,,카페 넘버스,서울특별시 강남구 논현로6길 5,37.4731487,127.0500958
84,2009-10-05,,도미노피자 대치점,서울특별시 강남구 역삼로 444,37.501894,127.055663
85,2021-12-02,,커피인류 역삼점,서울특별시 강남구 역삼로52길 14,37.4985291,127.0479489
