학원/교습소,학원명,도로명주소,개설일자,적재일시,위도,경도
학원,예림서예학원,서울특별시 강남구 선릉로 328,19820420,20230627,37.4990214,127.0518807
학원,와이비엠어학원,서울특별시 강남구 강남대로 408,19830827,20230730,37.5064819,127.0236118
학원,신세계음악학원,서울특별시 강남구 삼성로 212,19830224,20230627,37.4996053,127.0658806
학원,압구정뮤직아카데미학원,서울특별시 강남구 언주로172길 12,19840828,20230627,37.5272166,127.0368528
학원,심포니음악학원,서울특별시 강남구 학동로 513,19840730,20230627,37.5199698,127.056947
학원,아름드리음악학원,서울특별시 강남구 강남대로120길 42,19840330,20230627,37.5076284,127.0284892
학원,대치스카이독서실,서울특별시 강남구 도곡로 504,19851130,20230627,37.4987954,127.06162716559200
학원,신라보석공예학원,서울특별시 강남구 남부순환로 2921,19851217,20230627,37.4934887,127.0597536
학원,아르떼음악학원,서울특별시 강남구 논현로67길 61,19851019,20230627,37.493789,127.037066
학원,남서울알리앙스프랑세즈어학원,서울특별시 강남구 강남대로94길 27-15,19851108,20230627,37.501036,127.0315808
학원,전선진실용음악학원,서울특별시 강남구 삼성로71길 45,19850823,20230627,37.501175700000000,127.05533567543800
학원,김이채학원,서울특별시 강남구 남부순환로395길 9,20140528,20230627,37.4947288,127.0600294
학원,동현음악학원,서울특별시 강남구 언주로146길 18,19860426,20230627,37.5196589,127.0347851
학원,대치1관정상어학원,서울특별시 강남구 영동대로 227,19860927,20230627,37.499388250000000,127.06755925442700
학원,현대피아노조율기술학원,서울특별시 강남구 강남대로152길 23,19870529,20230627,37.5169823,127.0195537
학원,하이든음악학원,서울특별시 강남구 남부순환로363길 49,19870131,20230627,37.4863276,127.0386404
학원,사랑음악학원,서울특별시 강남구 언주로 117,19870423,20230627,37.4862066,127.0505703
학원,진화수학학원,서울특별시 강남구 삼성로58길 39,19871231,20230627,37.49947075,127.06443927906600
학원,제일정보처리학원,서울특별시 강남구 삼성로 38,19880312,20230627,37.5067233,127.0566608
학원,디와이비최선어학원,서울특별시 강남구 남부순환로 2917,20060503,20230730,37.4929498,127.0592055
학원,상지보습학원,서울특별시 강남구 영동대로128길 15,19881109,20230627,37.519134,127.0583322
학원,비엠아이(BMI-Butterfly Math Institute)수학학원,서울특별시 강남구 남부순환로 2936,20050121,20230627,37.4933484,127.0618811053220
학원,청담수도컴퓨터학원,서울특별시 강남구 도산대로 503,19890414,20230627,37.5181047,127.0240811
학원,청송독서실,서울특별시 강남구 양재대로55길 15,19890630,20230627,37.4918769,127.0874681
학원,에스모드서울패션디자인학원,서울특별시 강남구 압구정로 106,19890911,20230627,37.5228877,127.0206065
학원,문예원웅변학원,서울특별시 강남구 도곡로 509,19890414,20230627,37.499584800000000,127.06210975
학원,대영이피아이(EPI)학원,서울특별시 강남구 영동대로112길 51,19890517,20230627,37.5158554,127.0645156145470
학원,대치휘튼학원,서울특별시 강남구 삼성로64길 45,19891031,20230627,37.5008445,127.0641079
학원,엔프렙학원,서울특별시 강남구 압구정로 108,19891211,20230627,37.5228713,127.0205339
학원,해법수학해법영어학원,서울특별시 강남구 개포로22길 84,19891106,20230627,37.4760298,127.050135
학원,21세기수학보습학원,서울특별시 강남구 학동로42길 73,19900111,20230627,37.5117014,127.0370286
학원,지엘에스굿모닝영어영문학박사학원,서울특별시 강남구 선릉로 344,19900124,20230627,37.5290401,127.041123
학원,토탈에듀예일보습학원,서울특별시 강남구 영동대로57길 28,19900724,20230627,37.49792695,127.06612767319800
학원,스터디플래닛대치2센터독서실,서울특별시 강남구 삼성로58길 29,19901008,20230627,37.499203250000000,127.06362795338800
학원,수서정상어학원,서울특별시 강남구 밤고개로 219,19900720,20230627,37.4649875,127.1083055
학원,논현탑클래스학원,서울특별시 강남구 학동로6길 51,19900727,20230627,37.5100415,127.025357
학원,라도라음악학원,서울특별시 강남구 영동대로57길 28,19900807,20230627,37.49792695,127.06612767319800
학원,양인석스피치칼리지학원,서울특별시 강남구 선릉로6길 19,19910308,20230627,37.4831166,127.0622879
학원,정철어학원,서울특별시 강남구 강남대로 456,19920403,20230627,37.5032213,127.0255351
학원,이씨씨대치어학학원,서울특별시 강남구 역삼로 442,19920629,20230627,37.50187995,127.05545027973600
학원,역삼시사일본어학원,서울특별시 강남구 테헤란로4길 28,19921230,20230730,37.4968648,127.0302159
학원,청담미술학원,서울특별시 강남구 선릉로 712,19930623,20230627,37.5290401,127.041123
학원,도화선한국화미술학원,서울특별시 강남구 선릉로86길 6-3,19930823,20230627,37.5035345,127.0515452
학원,유형액세서리학원,서울특별시 강남구 논현로175길 11,19940331,20230627,37.5243164,127.0241243
학원,제이씨앤씨정원미술학원,서울특별시 강남구 도산대로25길 37,19941114,20230627,37.5207129,127.0267631
학원,창조음악학원,서울특별시 강남구 개포로22길 49,19950421,20230627,37.4760298,127.050135
학원,강남라이즈어학원,서울특별시 강남구 도곡로37길 5,19950829,20230629,37.4958704,127.0448676
학원,강남에스엘피어학학원,서울특별시 강남구 개포로 626,19951115,20230627,37.4940365,127.0813971
학원,한빛변리사학원,서울특별시 강남구 논현로95길 29-14,19951221,20230627,37.5015744,127.0339969
학원,수학전문강남수학원,서울특별시 강남구 일원로5길 51,19951229,20230627,37.4922128,127.0842976
학원,대은제이에스에이과학전문보습학원,서울특별시 강남구 선릉로 42,19890819,20230627,37.4833325,127.06003643689900
학원,G1(지원)미술학원,서울특별시 강남구 역삼로 315,19960307,20230627,37.4971992,127.041991
학원,강남대성학원,서울특별시 강남구 테헤란로4길 39,19960705,20230628,37.4968648,127.0302159
학원,대치나인에듀학원,서울특별시 강남구 삼성로 221,20061121,20230627,37.49670655,127.0617829881580
학원,지혜의숲사고력보습학원,서울특별시 강남구 삼성로76길 14,19970310,20230627,37.5042246,127.0597217
학원,에스피이피(SPEP)어학원,서울특별시 강남구 언주로 861,19970411,20230627,37.5127061,127.0355919
학원,가온미술학원,서울특별시 강남구 선릉로86길 10,19970523,20230627,37.5035345,127.0515452
학원,베를린입시음악학원,서울특별시 강남구 도곡로 184,20090423,20230627,37.5001816,127.0648724
학원,제이에스에치과학보습학원,서울특별시 강남구 도곡로 504,19970714,20230627,37.4987954,127.06162716559200
학원,하우스터디대치독서실,서울특별시 강남구 삼성로51길 25,19970829,20230627,37.49608235,127.05983484040900
학원,미라클음악학원,서울특별시 강남구 개포로25길 6,19970902,20230627,37.4802243,127.0480879
학원,미대편입강남창조학원,서울특별시 강남구 강남대로94길 20,19971001,20230627,37.501036,127.0315808
학원,엠씨티수학학원,서울특별시 강남구 삼성로 155,19971103,20230627,37.49401,127.0629819
학원,유영분장학원,서울특별시 강남구 논현로140길 10,19971223,20230627,37.5171753,127.0307288
학원,영공방학원,서울특별시 강남구 광평로31길 27,19980305,20230627,37.485454,127.089687
학원,케이엠유학원,서울특별시 강남구 논현로153길 21,19980327,20230627,37.5211124,127.0264506
학원,슈퍼멘토학원,서울특별시 강남구 일원로 41,19980331,20230627,37.49121,127.08067
학원,미탐인학원,서울특별시 강남구 도곡로 454,19980424,20230730,37.49827025,127.06019508325400
학원,웹타임컴퓨터학원,서울특별시 강남구 테헤란로78길 16,19980530,20230627,37.5053998,127.0555902
학원,스터디엔카페삼우독서실,서울특별시 강남구 광평로31길 27,19980714,20230627,37.485454,127.089687
학원,해법수학교실대치학원,서울특별시 강남구 도곡로 447,19980720,20230627,37.4987024,127.05937385
학원,정인보습학원,서울특별시 강남구 일원로 95,19980926,20230627,37.49121,127.08067
학원,수서엘리트독서실,서울특별시 강남구 광평로 61,19981010,20230627,37.4834878,127.0852764
학원,삼성탑독서실,서울특별시 강남구 삼성로115길 45,19981015,20230627,37.5143841,127.0501057
학원,하우스터디대청센터독서실,서울특별시 강남구 개포로109길 34,19981024,20230627,37.4968938,127.077245
학원,생각하는수학학원,서울특별시 강남구 삼성로64길 51,19990122,20230627,37.5008445,127.0641079
학원,수학과표현학원,서울특별시 강남구 삼성로 38,19990225,20230627,37.5067233,127.0566608
학원,대치페르마정석학원,서울특별시 강남구 삼성로57길 39,19990316,20230627,37.4971488,127.05803318016700
학원,엘리트어학학원,서울특별시 강남구 논현로168길 36,19990323,20230627,37.524071,127.0295266
학원,피아노블러바드뮤직스쿨(Piano Boulevard Music School)음악학원,서울특별시 강남구 압구정로 112,19990324,20230627,37.5219841,127.0183177
학원,최강보습학원,서울특별시 강남구 압구정로29길 72-1,19990412,20230627,37.5322776,127.0283897
학원,란이화무용학원,서울특별시 강남구 압구정로34길 14,19990514,20230627,37.5264794,127.0306953
학원,솔로몬사고력영어학원,서울특별시 강남구 광평로10길 15,19990604,20230627,37.4827048,127.0799026
학원,삼화학원,서울특별시 강남구 도산대로6길 8,19990805,20230627,37.5166463,127.0213364
학원,두각세림관학원,서울특별시 강남구 도곡로 422,19990805,20230627,37.4972398,127.05681175
학원,스카이학원,서울특별시 강남구 선릉로 664,19990823,20230627,37.5290401,127.041123
학원,예당독서실,서울특별시 강남구 선릉로 664,19990901,20230627,37.5290401,127.041123
학원,상아학원,서울특별시 강남구 도곡로 440,19990903,20230627,37.4978916,127.05866681589000
학원,한국스카이학원,서울특별시 강남구 도곡로63길 12,20061002,20230627,37.49779705,127.05451732140900
학원,피에스에이개포어학학원,서울특별시 강남구 개포로 408,19991119,20230627,37.4925758,127.0762475
학원,청운보습학원,서울특별시 강남구 언주로167길 33-4,20050104,20230627,37.5264475,127.0315016
학원,노리안강남수서학원,서울특별시 강남구 밤고개로1길 22,19991202,20230627,37.4888508,127.1033456
학원,마음의눈미술학원,서울특별시 강남구 논현로157길 10,19991204,20230627,37.522436,127.0265544
학원,시리우스수학학원,서울특별시 강남구 역삼로 536,20061110,20230730,37.4971992,127.041991
학원,미래탐구학원,서울특별시 강남구 삼성로57길 31,20000412,20230627,37.49729085,127.05856632043200
학원,생각비타민국어학원,서울특별시 강남구 삼성로 313,20120509,20230627,37.48315755,127.0687079533270
학원,강남아이지에스(IGS)통역학원,서울특별시 강남구 강남대로98길 9,20230508,20230627,37.500757,127.0277568
학원,시사중국어학원,서울특별시 강남구 테헤란로4길 28,20000620,20230730,37.4968648,127.0302159
학원,씨앤에이논술학원,서울특별시 강남구 도곡로 450,20070505,20230627,37.4981316,127.05981030000000
학원,수학전문로커스학원,서울특별시 강남구 개포로82길 7,20000704,20230627,37.488846,127.0670631
학원,정진수학학원,서울특별시 강남구 도곡로78길 22,20000828,20230627,37.496800750000000,127.05940410635700
학원,양향자푸드앤코디아카데미학원,서울특별시 강남구 논현로57길 24,20000922,20230627,37.4913732,127.0396095
학원,영독대치학원,서울특별시 강남구 남부순환로 2942,20001207,20230627,37.493656900000000,127.06233953984100
학원,설리번스쿨어학원,서울특별시 강남구 도산대로17길 21,20010119,20230627,37.5186925,127.0251479
학원,명석학원,서울특별시 강남구 도곡로 447,20010411,20230627,37.4987024,127.05937385
학원,프리미어학원,서울특별시 강남구 남부순환로 2935,20010414,20230730,37.49398945,127.0613581071910
학원,조엘통찰수학학원,서울특별시 강남구 도곡로 438,20010414,20230627,37.49780615,127.05843696140800
학원,청담해법수학학원,서울특별시 강남구 학동로 419,20010525,20230627,37.5199698,127.056947
학원,시대인재56학원,서울특별시 강남구 삼성로 231,20010608,20230730,37.4978449,127.0609981
학원,다원매쓰아이(Math i)학원,서울특별시 강남구 삼성로 227,20010615,20230730,37.497433100000000,127.06132850384600
학원,루미가넷네일아카데미학원,서울특별시 강남구 역삼로 432,20010623,20230627,37.4971992,127.041991
학원,우리사진학원,서울특별시 강남구 논현로175길 46,20010629,20230627,37.5243164,127.0241243
학원,에이원아카데미보습학원,서울특별시 강남구 논현로175길 109,20010711,20230627,37.5243164,127.0241243
학원,대치필학원,서울특별시 강남구 삼성로 150,20010718,20230627,37.5067233,127.0566608
