,인허가일자,폐업일자,도로명주소,점포_위도,점포_경도
9,1985-07-08,2023-01-02,서울특별시 강남구 압구정로 407,37.5280802,127.0415695
26,1985-11-30,2023-01-02,서울특별시 강남구 압구정로 165,37.5273268,127.0274265
27,1988-10-10,2023-01-02,서울특별시 강남구 테헤란로 517,37.5086154,127.0597808
28,1985-03-18,2023-01-02,서울특별시 강남구 압구정로 343,37.5285614,127.0400548
29,2000-06-16,2023-01-02,서울특별시 강남구 도곡로 401,37.4970578,127.0535939
30,1988-10-19,2023-01-02,서울특별시 강남구 테헤란로 521,37.5090474,127.060893
31,2000-05-01,2023-01-02,서울특별시 강남구 봉은사로 524,37.5125207,127.0588194
32,2000-05-03,2023-01-02,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
39,2006-10-24,2023-01-02,서울특별시 강남구 역삼로 310,37.499217,127.0484398
40,2006-10-18,2019-08-31,서울특별시 강남구 역삼로 310,37.499217,127.0484398
42,2009-11-09,2023-01-02,서울특별시 강남구 논현로28길 9,37.4827594,127.0433546
45,2011-04-12,2019-08-31,서울특별시 강남구 도산대로 442,37.5233934,127.0436578
46,2011-04-12,2023-01-02,서울특별시 강남구 도산대로 442,37.5233934,127.0436578
48,2012-07-26,2023-01-02,서울특별시 강남구 압구정로46길 5-2,37.5280518,127.0368914
49,2012-04-05,2017-03-13,서울특별시 강남구 학동로43길 38,37.5184523,127.03803
50,2012-05-18,2023-01-02,서울특별시 강남구 압구정로18길 25,37.5233078,127.0254152
52,2013-06-04,2023-01-02,서울특별시 강남구 학동로 176,37.5135239,127.0301914
55,2012-07-02,2014-06-15,서울특별시 강남구 논현로 468,37.5000776,127.0385419
56,2011-11-24,2023-01-02,서울특별시 강남구 역삼로 230,37.4968936,127.0419635
57,2011-12-02,2023-01-02,서울특별시 강남구 역삼로8길 15,37.4931369,127.0342293
58,2012-01-19,2023-01-02,서울특별시 강남구 언주로122길 25,37.5144337,127.0243283
59,2012-07-02,2021-12-30,서울특별시 강남구 도산대로35길 39,37.523493,127.0303445
61,2012-07-02,2023-01-02,서울특별시 강남구 봉은사로103길 5,37.5149946,127.0614151
62,2012-07-02,2023-01-02,서울특별시 강남구 언주로 123,37.4868514,127.0487982
63,2014-09-16,2023-01-02,서울특별시 강남구 강남대로128길 128-20,37.5111262,127.0254209
64,2014-11-25,2023-01-02,서울특별시 강남구 테헤란로87길 22-0,37.5095909,127.0592738
66,2016-12-29,2023-01-02,서울특별시 강남구 삼성로 633,37.5145427,127.0636849
69,2022-04-12,2023-01-02,서울특별시 강남구 압구정로2길 46,37.5187712,127.0206688
70,2022-09-15,2023-01-02,서울특별시 강남구 압구정로 312,37.528757,127.0355137
