유치원명,개원일,주소,Latitude,Longitude,폐업일자
서울신구유치원,20170901,서울특별시 강남구 압구정로18길 28,37.5231178,127.0241858,
서울세명유치원,20180301,서울특별시 강남구 자곡로 55,37.4686014,127.0909942,
강남유치원,19850201,서울특별시 강남구 선릉로129길 31,37.5153758,127.0390967,
서울언주초등학교병설유치원,20130314,서울특별시 강남구 남부순환로363길 19,37.4865471,127.0371722,
서울개원초등학교병설유치원,20130301,서울특별시 강남구 선릉로 29,37.4813655,127.0590553,
도곡렉슬유치원,20060306,서울특별시 강남구 선릉로 221,37.4935415,127.0505473,
영동제일유치원,19780329,서울특별시 강남구 삼성로120길 28,37.5174447,127.0533678,
서울수서초등학교병설유치원,20050427,서울특별시 강남구 광평로51길 46,37.4908423,127.101657,
선경유치원,19920228,서울특별시 강남구 삼성로 151,37.4921261,127.0625653,
신아유치원,19880301,서울특별시 강남구 개포로110길 15,37.4922926,127.0783273,
신양유치원,19871210,서울특별시 강남구 선릉로10길 18-6,37.4837054,127.0614047,
서울도곡초등학교병설유치원,20140611,서울특별시 강남구 선릉로64길 33,37.4990608,127.0546706,
청담몬테소리유치원,20130301,서울특별시 강남구 학동로67길 15,37.5193769,127.0465759,
남부유치원,19860327,서울특별시 강남구 언주로 123,37.4868895,127.0488972,
서울역삼초등학교병설유치원,20050301,서울특별시 강남구 강남대로66길 21,37.4928011,127.0327832,
푸른유치원,19950301,서울특별시 강남구 일원로14길 25,37.4838689,127.0808707,
신우주유치원,20020107,서울특별시 강남구 일원로 120,37.484275,127.0826129,
서울자곡초등학교병설유치원,20141024,서울특별시 강남구 자곡로 150,37.472101,127.0996175,
서울대왕초등학교병설유치원,20121004,서울특별시 강남구 헌릉로618길 8,37.4644284,127.1055381,
하늘빛유치원,19930302,서울특별시 강남구 양재대로55길 12,37.4926339,127.0902837,
돌샘유치원,19840302,서울특별시 강남구 개포로 516,37.4888759,127.0716679,
럭키유치원,19971226,서울특별시 강남구 논현로 213,37.49045,127.0399974,
리라유치원,19941010,서울특별시 강남구 광평로19길 15,37.4848508,127.085277,
묘동유치원,19241113,서울특별시 강남구 도곡로78길 8,37.4974311,127.0588842,
초원유치원,19911122,서울특별시 강남구 논현로14길 17,37.4759479,127.0485936,
아란유치원,19790320,서울특별시 강남구 압구정로 201,37.5296583,127.0308297,
서울율현초등학교병설유치원,20140901,서울특별시 강남구 밤고개로21길 15,37.4745152,127.108285,
서울논현초등학교병설유치원,20110308,서울특별시 강남구 강남대로120길 33,37.5082167,127.0263166,
오즈의마법사유치원,20120521,서울특별시 강남구 헌릉로618길 14,37.4640148,127.1061849,
반디유치원,19930302,서울특별시 강남구 광평로47길 17,37.4870722,127.0984431,
이화유치원,19930216,서울특별시 강남구 개포로109길 5,37.4941844,127.0752156,
청운교회부설유치원,19850609,서울특별시 강남구 언주로65길 5,37.4949968,127.0455623,
서울개포유치원,20230301,서울특별시 강남구 삼성로4길 20,37.4876225,127.0685038,
서울대현초등학교병설유치원,20000115,서울특별시 강남구 역삼로98길 16,37.5035728,127.0638597,
성결유치원,19870418,서울특별시 강남구 언주로121길 5,37.5115025,127.0352699,
성요셉유치원,19721212,서울특별시 강남구 압구정로77길 28,37.5267422,127.0482299,
소망유치원,19940301,서울특별시 강남구 광평로56길 11,37.4873122,127.1051462,
서울은곡유치원,20150301,서울특별시 강남구 헌릉로569길 41,37.4668086,127.0969742,
강남유정유치원,20180301,서울특별시 강남구 광평로34길 17,37.4829842,127.0949371,
서울영희초등학교병설유치원,20220301,서울특별시 강남구 일원로 21,37.4919412,127.0812766,
서울청담초등학교병설유치원,20210901,서울특별시 강남구 압구정로71길 9,37.5279801,127.0450373,
서울포이초등학교병설유치원,20180301,서울특별시 강남구 개포로22길 87,37.4755995,127.0523238,
서울학동초등학교병설유치원,20210310,서울특별시 강남구 선릉로115길 42,37.5120662,127.0398114,
